,pl_name,hostname,pl_bmasse,pl_orbper,pl_orbsmax,st_mass
408,4 UMa b,4 UMa,2511.48007211,270.27,0.877,1.234
409,30 Ari B b,30 Ari B,3140.03,335.1,0.995,1.16
410,30 Ari B b,30 Ari B,4392.4106,335.10001,0.99,1.93
411,30 Ari B b,30 Ari B,2097.678,345.4,1.01,1.16
412,BD+20 2457 b,BD+20 2457,17668.1697,379.63,1.05,10.83
413,BD+20 2457 b,BD+20 2457,6807.63,379.63,1.45,2.8
414,HD 100777 b,HD 100777,390.92894061,383,1.06,1.08
415,HD 100777 b,HD 100777,368.67,383.7,1.03,1.01
416,HD 100777 b,HD 100777,327.3649,383.70001,1.03,0.83
417,BD+48 738 b,BD+48 738,289.2253,392.6,1,0.74
418,HD 108874 b,HD 108874,426,394.48,1.053,0.97
419,HD 108874 b,HD 108874,451.3186,394.48123,1.04,1.1
420,HD 108874 b,HD 108874,419.53349724,395.38,1.052,0.995578
421,HD 108874 b,HD 108874,432.23,395.4,1.051,0.99
422,HD 108874 b,HD 108874,409.98,395.8,1.038,0.95
423,HD 108874 b,HD 108874,543.47,397.5,1.06,1
424,HAT-P-13 c,HAT-P-13,4830.8,428.5,1.188,1.22
425,gam1 Leo b,gam1 Leo,2790.43,428.5,1.19,1.23
426,HD 108863 b,HD 108863,767.24162,437.7,1.32,1.59
427,HD 108863 b,HD 108863,902.6372,443.39999,1.45,2.17
428,HD 108863 b,HD 108863,826.3,443.4,1.4,1.85
429,HAT-P-13 c,HAT-P-13,4643.3,445.82,1.258,1.32
430,24 Sex b,24 Sex,632.46,452.8,1.333,1.54
431,HD 128311 b,HD 128311,562.24127,453.019,1.084,0.828
432,42 Dra b,42 Dra,1233.13,479.1,1.19,0.98
433,HD 114783 b,HD 114783,328.31674443,492.56,1.164,0.866925
434,HD 114783 b,HD 114783,349.6,493.7,1.16,0.853
435,HD 114783 b,HD 114783,328.6,496.9,1.169,0.85
436,HD 114783 b,HD 114783,317.83,501,1.2,0.92
437,HD 125612 b,HD 125612,1112.405,510,1.2,1.1
438,11 UMi b,11 UMi,4684.8142,516.21997,1.53,2.78
439,11 UMi b,11 UMi,3337.07,516.22,1.54,1.8
440,HD 125612 b,HD 125612,985.273,557.04,1.372,1.11
441,HD 125612 b,HD 125612,945.22168242,557.69994,1.349,1.05
442,HD 125612 b,HD 125612,968,559.4,1.37,1.091
443,HD 125612 b,HD 125612,1026.5909,559.40485,1.37,1.19
444,eps Tau b,eps Tau,2285.18624633,585.82,1.878,2.57
445,eps Tau b,eps Tau,2415.406,594.9,1.93,2.7
446,GJ 649 b,GJ 649,104.244,598.3,1.135,0.54
447,GJ 649 b,GJ 649,81.99972901,600.1,1.112,0.51
448,HD 10180 g,HD 10180,21.4,601.2,1.422,1.06
449,HD 10180 g,HD 10180,23.265156,604.67,1.427,1.06
450,GJ 649 b,GJ 649,87.40281192,604.8,1.1325,0.529834
451,HD 11977 b,HD 11977,2065.895,621.6,1.89,2.31
